WardCode,WardName,crime_2022_23,population_2021,area_km2,pop_density_2021,crime_rate_1000,young_adult_share_2021,unemployment_rate_2021,higher_education_share_2021,non_uk_born_share_2021,lone_parent_household_share_2021,severe_household_deprivation_share_2021
E05011222,Crayford,1220,15945,5.099309774636993,3126.89,76.51,27.76,4.75,29.41,17.81,13.8,19.41
E05011223,Crook Log,733,15888,2.6617327793909253,5969.04,46.14,25.02,4.28,33.33,19.23,10.83,13.65
E05011224,East Wickham,691,16194,2.8145932550003163,5753.58,42.67,25.21,5.22,29.89,23.51,11.7,17.58
E05011225,Erith,1408,12827,2.4182170944061987,5304.32,109.77,30.19,6.36,35.67,30.14,19.69,21.1
E05011226,Falconwood & Welling,945,16593,3.270714536022233,5073.2,56.95,26.23,4.34,31.22,22.49,11.37,14.18
E05011227,Longlands,323,10032,1.8808352755886844,5333.8,32.2,25.36,4.43,34.27,12.54,9.74,13.96
E05011228,Northumberland Heath,683,11054,1.7131479901059652,6452.45,61.79,24.7,5.82,26.82,17.88,15.66,18.79
E05011229,St Mary's & St James,629,10851,8.751124965700386,1239.95,57.97,22.58,4.46,34.04,12.43,11.01,14.59
E05011230,Sidcup,1083,15725,4.003600876605979,3927.71,68.87,26.42,4.8,33.15,15.24,11.24,17.55
E05011231,Slade Green & Northend,1194,12879,4.325000649921942,2977.8,92.71,27.16,7.22,35.01,29.44,21.2,25.86
E05011232,Thamesmead East,1477,15917,4.284288620245335,3715.2,92.79,25.09,8.28,37.67,42.43,21.77,24.72
E05011233,West Heath,439,15677,2.367215512769142,6622.55,28.0,22.75,3.76,28.97,17.56,9.74,14.54
E05011234,Aldborough,1145,15580,8.480015049345901,1837.26,73.49,30.14,6.22,42.98,48.97,11.18,17.86
E05011235,Barkingside,929,15203,1.6363086761986325,9291.03,61.11,29.99,5.29,45.6,47.49,10.65,16.67
E05011236,Bridge,812,13398,3.4494594842359794,3884.09,60.61,27.01,4.94,40.28,28.88,13.02,16.09
